date,Y_h,pred_HAR,pred_HAR-DOW,pred_HAR-X,split
2014-03-11,-2.0423675220738824,-2.080312933209613,-2.0457136958450812,-2.111598175920601,train
2014-03-12,-1.9222660101361482,-2.138928761570021,-2.126336388389073,-2.1460395357693947,train
2014-03-13,-1.786518805820526,-2.1567253503685695,-2.178374950547857,-2.0354707244882237,train
2014-03-14,-1.9558718025082782,-1.9547631175966702,-1.9585619916305899,-1.865425277810187,train
2014-03-17,-1.9917462228952179,-2.040086929577828,-2.0500118777999794,-1.912796409044932,train
2014-03-18,-1.7963132855672623,-2.0689935032095184,-2.034273628216506,-1.9489318863878378,train
2014-03-19,-1.7777103437915869,-1.9293489505524675,-1.9151343347663863,-1.8366119447207192,train
2014-03-20,-1.84145164979124,-1.8180687910601356,-1.8300393742909722,-1.8882057045130847,train
2014-03-21,-1.8271897564411543,-1.9178042525640937,-1.9439313665705027,-1.9956912015024317,train
2014-03-24,-1.7905999385022584,-1.9499545343975664,-1.9674565099390005,-2.024130371214463,train
2014-03-25,-1.8997275134445477,-1.751999379043082,-1.724631699948337,-1.820985806278541,train
2014-03-26,-2.037033967062154,-1.7835978484691408,-1.7715747444187364,-1.8168348453233514,train
2014-03-27,-2.1390122793898247,-1.8313941955076407,-1.8492665331932918,-1.8311537212053497,train
2014-03-28,-1.9833352580028674,-1.8086337217173447,-1.8341482891964764,-1.657597924406868,train
2014-03-31,-1.937197164795525,-1.7854170837757353,-1.8011380584726873,-1.5631858872803122,train
2014-04-01,-2.1042046864304185,-1.8054413623239762,-1.7754846731848966,-1.6142620037531172,train
2014-04-02,-2.088313936723331,-2.005665035023376,-1.9948025434345296,-1.842418531219208,train
2014-04-03,-1.9931830778535407,-2.066952402476495,-2.0929405107552372,-1.880601838277382,train
2014-04-04,-2.2943666696052487,-1.848551914248513,-1.856673997502186,-1.825901067211656,train
2014-04-07,-2.5720264336226455,-1.8742298334674985,-1.8818777508107063,-1.9455434815076273,train
2014-04-08,-2.4757565966252493,-2.1849039189988875,-2.1457562370819834,-2.2263393788365495,train
2014-04-09,-2.4770379629332187,-2.09867514908048,-2.0837780649020967,-2.122346607273327,train
2014-04-10,-2.598928404222325,-1.9678472335835606,-1.98147283933589,-1.9949163396213083,train
2014-04-11,-2.626285443500501,-2.1740389431474285,-2.2105833338777727,-2.2009900242990357,train
2014-04-14,-2.7366864775968764,-2.317788060316556,-2.3400069268619883,-2.3206898095009842,train
2014-04-15,-2.934988620790937,-2.2177488955495424,-2.1762891564319777,-2.2403903646703887,train
2014-04-16,-3.04328213067036,-2.2296226567366952,-2.210597098066435,-2.2752302509345768,train
2014-04-17,-2.9614004651322934,-2.25913951085405,-2.274609088457203,-2.3253728544811136,train
2014-04-18,-2.8540132800168676,-2.345934221047617,-2.383092988251717,-2.38610114430784,train
2014-04-21,-2.772355693044905,-2.684550688812406,-2.729620410667924,-2.7499147803115562,train
2014-04-22,-2.639248597100022,-2.730201128029726,-2.6763049951774094,-2.8018962966692067,train
2014-04-23,-2.530213553123749,-2.671570763465932,-2.644198089025201,-2.7826099235211825,train
2014-04-24,-2.492777139864213,-2.5726563098449717,-2.5748971709945754,-2.564276909295996,train
2014-04-25,-2.6453353430729516,-2.577753921959153,-2.597315400831952,-2.5758173470581878,train
2014-04-28,-2.4063871633096134,-2.6222297186481955,-2.647816685918563,-2.4732283265542914,train
2014-04-29,-2.500330598675354,-2.4668827733902434,-2.4236433285415564,-2.279871567049715,train
2014-04-30,-2.559763598542313,-2.3826581516299066,-2.3631614552863436,-2.171233060761276,train
2014-05-01,-2.741547351431636,-2.3407813621967994,-2.3514371706307364,-2.261028511355785,train
2014-05-02,-2.0144248289949616,-2.6540954847850124,-2.709174185839909,-2.394054538532239,train
2014-05-05,-2.085592367742151,-2.323836579440335,-2.330565855640189,-2.1748917490795603,train
2014-05-06,-2.066058958743241,-2.6361876795841614,-2.591293062435608,-2.5130324941400968,train
2014-05-07,-1.9861519019356944,-2.551988208542498,-2.531866640071751,-2.433745394878966,train
2014-05-08,-1.9649346705018664,-2.639113897399287,-2.660176172476084,-2.529571675928368,train
2014-05-09,-2.378021342869431,-2.143125297451836,-2.137331790806809,-2.147433381915914,train
2014-05-12,-2.4072481063849556,-2.381488479683165,-2.3979719655334963,-2.4064435589110436,train
2014-05-13,-2.3971737875000723,-2.462470661828548,-2.423522392041531,-2.4672272064031127,train
2014-05-14,-2.5769688615522974,-2.253218186426601,-2.237176453291561,-2.274046029397654,train
2014-05-15,-2.515380135600293,-2.3093157465017335,-2.336662993420083,-2.314383590922049,train
2014-05-16,-2.684930726950357,-2.302766489804114,-2.32228829454893,-2.371663576531771,train
2014-05-19,-2.7828796956766872,-2.3990259451470966,-2.418549111606675,-2.468175157633844,train
2014-05-20,-2.8301292914936407,-2.4599512087459012,-2.4200726801424595,-2.560271686738597,train
2014-05-21,-2.827516852135133,-2.509332088225948,-2.4931265976059795,-2.5753314563459586,train
2014-05-22,-2.9232090799080996,-2.3728264790204423,-2.387703378736657,-2.453422266532286,train
2014-05-23,-2.980794029918122,-2.462164136592435,-2.493099844737739,-2.5357888826995536,train
2014-05-26,-2.907005692524389,-2.591699697934976,-2.6162608330536643,-2.64651325628454,train
2014-05-27,-2.7872643101220405,-2.6793896611171237,-2.6310189114120344,-2.6512548562750506,train
2014-05-28,-2.692661062327244,-2.6122148345887903,-2.59163126767771,-2.614124720767553,train
2014-05-29,-2.7036098592023667,-2.594125541585054,-2.60985766728726,-2.5701405297274826,train
2014-05-30,-1.9076479352151512,-2.649664964045433,-2.6820096465914465,-2.4806031218154128,train
2014-06-02,-1.7898889996031244,-2.6155315035444815,-2.631007173281939,-2.330875025333838,train
2014-06-03,-1.8026230166149557,-2.5321450950490583,-2.4873848636121885,-2.295719193371525,train
2014-06-04,-1.8096148358520519,-2.4735430811395847,-2.4534365472396247,-2.2553535273628045,train
2014-06-05,-1.8134241998752918,-2.4926963328405036,-2.5140257831540516,-2.3121378062232885,train
2014-06-06,-2.4164144047349705,-2.021155167955381,-2.01091173553945,-2.03173159102091,train
2014-06-09,-2.6401874838125923,-2.079841028458458,-2.0904897835158973,-2.189190584116549,train
