horizon,merged_column,representative
22,ev_evt_EUR_Import_Price_Index_YoY,ev_evt_EUR_Import_Price_Index_MoM
22,ev_evt_EUR_M3_Money_Supply_YoY,ev_evt_EUR_M3_Money_Supply_3m
22,ev_evt_EUR_Private_Loans_YoY,ev_evt_EUR_M3_Money_Supply_3m
22,ev_evt_USD_Housing_Starts_MoM,ev_evt_USD_Building_Permits_MoM
22,ev_evt_EUR_Wholesale_Price_Index_YoY,ev_evt_EUR_Wholesale_Price_Index_MoM
22,ev_evt_EUR_Industrial_Confidence,ev_evt_EUR_Economic_Sentiment_Indicator
22,ev_evt_EUR_Services_Sentiment,ev_evt_EUR_Economic_Sentiment_Indicator
22,ev_evt_EUR_Business_Climate,ev_evt_EUR_Economic_Sentiment_Indicator
22,ev_evt_EUR_Industrial_Sales_s_a_MoM,ev_evt_EUR_Industrial_Sales_n_s_a_YoY
22,ev_evt_EUR_Gross_Domestic_Product_s_a_YoY,ev_evt_EUR_Gross_Domestic_Product_s_a_QoQ
22,ev_evt_EUR_ECB_Press_Conference,ev_evt_EUR_ECB_Main_Refinancing_Operations_Rate
22,ev_evt_USD_UoM_1_year_Consumer_Inflation_Expectations,ev_evt_USD_Michigan_Consumer_Expectations_Index
22,ev_evt_USD_UoM_5_year_Consumer_Inflation_Expectation,ev_evt_USD_Michigan_Consumer_Expectations_Index
22,ev_evt_USD_Housing_Starts_Change,ev_evt_USD_Building_Permits_Change
22,ev_evt_USD_Nonfarm_Productivity,ev_evt_USD_Unit_Labor_Costs
22,ev_evt_USD_ISM_Manufacturing_New_Orders_Index,ev_evt_USD_ISM_Manufacturing_Employment_Index
22,ev_evt_USD_ISM_Services_Employment_Index,ev_evt_USD_ISM_Manufacturing_Employment_Index
22,ev_evt_USD_ISM_Services_New_Orders_Index,ev_evt_USD_ISM_Manufacturing_Employment_Index
22,ev_evt_USD_ISM_Services_Prices_Paid,ev_evt_USD_ISM_Manufacturing_Employment_Index
22,ev_evt_EUR_Employment_Change_YoY,ev_evt_EUR_Employment_Change_QoQ
22,ev_evt_EUR_Gross_Domestic_Product_Estimated_YoY,ev_evt_EUR_Gross_Domestic_Product_Estimated_QoQ
22,ev_evt_USD_Employment_Cost_Index,ev_evt_EUR_Gross_Domestic_Product_Estimated_QoQ
